ID,LvlSpr,02-May,01-May,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,09-Apr,08-Apr,07-Apr,06-Apr,05-Apr,04-Apr,03-Apr,02-Apr,01-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,09-Mar,08-Mar,07-Mar,06-Mar,05-Mar,04-Mar,03-Mar,02-Mar,01-Mar,28-Feb,27-Feb,26-Feb,25-Feb,24-Feb,23-Feb,22-Feb,21-Feb,20-Feb,19-Feb,18-Feb,17-Feb,16-Feb,15-Feb,14-Feb,13-Feb,12-Feb,11-Feb,10-Feb,09-Feb,08-Feb,07-Feb
1,Lvl,13,13,13,14,14,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spr,4,5,5,4,4,4,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lvl,11,10,11,11,11,10,11,11,11,11,11,11,11,11,10,11,10,11,11,11,12,11,13,10,11,11,11,11,10,10,13,11,16,11,10,11,10,10,12,11,11,10,10,11,16,26,23,12,13,11,11,11,11,16,11,11,11,19,10,12,20,30,15,11,11,11,13,12,11,11,,,,,,,,,,,,,,,
2,Spr,16,5,6,9,8,4,7,8,7,5,7,9,4,6,8,7,6,8,7,9,6,7,7,7,7,8,13,5,7,5,8,6,10,8,6,5,5,7,9,7,9,7,10,8,9,15,13,9,15,7,7,6,8,9,8,6,5,9,8,7,13,17,10,5,9,4,10,8,9,7,,,,,,,,,,,,,,,
3,Lvl,17,15,15,23,15,13,26,26,20,16,14,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spr,14,7,19,19,15,20,13,13,11,12,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lvl,18,48,48,42,42,48,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Spr,7,10,11,7,7,10,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lvl,12,13,11,12,11,11,14,11,14,12,12,12,12,11,11,12,11,11,11,12,12,11,12,11,11,11,11,15,11,11,12,11,19,14,11,11,11,11,12,11,11,13,11,12,11,11,21,34,12,11,11,11,11,16,11,11,11,14,10,10,10,11,10,10,10,10,11,10,11,11,,,,,,,,,,,,,,,
6,Spr,5,4,5,3,5,4,17,9,10,5,5,12,6,4,4,7,4,4,5,4,5,5,13,4,4,3,3,10,13,4,8,4,19,9,4,5,4,4,4,13,7,9,3,4,7,5,21,21,8,4,10,4,5,20,6,3,4,18,4,4,6,7,3,5,3,4,8,4,9,11,,,,,,,,,,,,,,,
7,Lvl,58,59,59,58,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Spr,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lvl,12,11,11,12,12,12,13,11,12,12,12,12,12,12,12,12,12,12,12,11,11,12,11,12,12,12,12,12,12,11,12,12,13,17,11,11,12,12,12,13,13,12,12,12,12,12,13,13,13,12,13,12,13,14,12,12,12,12,12,12,12,12,15,12,11,12,15,12,12,12,12,12,12,12,12,11,12,,11,12,13,,,,
8,Spr,15,3,9,20,14,8,13,14,10,13,14,13,4,8,3,6,11,15,18,6,9,11,7,4,11,17,15,8,3,13,13,17,14,10,9,5,9,4,20,17,9,4,4,4,7,15,15,7,16,8,7,7,19,15,10,10,5,7,10,19,13,11,7,4,3,5,17,17,4,13,12,4,6,16,15,8,8,,7,9,20,,,,
9,Lvl,13,11,11,12,12,11,13,13,12,12,12,12,12,12,12,13,12,13,13,12,13,13,12,15,12,14,13,13,13,14,14,12,18,13,11,12,13,15,12,13,14,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spr,7,6,3,3,3,4,6,5,4,4,3,3,3,3,3,3,3,4,3,4,7,3,4,3,4,5,4,3,4,5,5,3,6,10,3,3,12,3,3,7,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Lvl,19,15,14,15,15,16,15,16,17,17,15,14,14,14,13,14,14,15,14,14,13,14,14,14,14,15,13,16,14,14,16,15,19,14,14,19,23,22,24,23,22,22,20,21,20,22,24,23,23,21,24,22,22,23,21,18,18,22,19,21,19,20,18,20,20,20,19,21,20,21,22,22,33,29,28,29,30,,27,28,32,,,,
10,Spr,8,6,5,7,4,5,6,6,8,6,4,4,4,8,4,5,5,5,5,13,5,6,6,7,6,6,7,11,5,4,13,6,8,4,6,5,9,9,9,9,8,8,8,11,9,9,10,11,10,8,9,9,9,11,9,8,7,11,8,10,11,13,14,9,9,9,8,9,8,10,10,10,11,12,10,11,11,,10,11,10,,,,
11,Lvl,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Spr,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lvl,19,18,16,15,14,10,10,10,14,13,16,15,13,13,13,27,23,20,27,24,23,24,26,19,27,18,25,26,27,27,29,29,31,27,21,26,17,23,30,24,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Spr,10,5,4,4,3,3,9,3,9,6,6,5,4,4,3,8,10,5,5,5,6,6,6,5,6,5,8,5,6,6,6,9,8,6,5,5,10,7,6,6,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lvl,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Spr,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Lvl,19,17,16,18,17,18,17,18,18,18,17,17,17,17,19,17,17,18,17,17,19,16,17,17,18,16,20,19,20,17,18,20,20,18,16,17,18,17,20,20,18,17,18,18,18,19,19,20,18,17,17,21,16,22,18,19,17,22,19,18,17,22,17,17,18,17,19,19,17,17,17,19,18,18,19,19,18,,18,18,19,17,,,
14,Spr,5,3,5,5,4,4,9,4,4,5,4,4,3,3,6,5,4,5,3,3,6,3,3,3,4,5,6,7,6,3,3,9,7,4,3,3,11,3,7,7,3,3,6,3,4,5,5,8,5,4,4,9,5,7,3,3,3,9,7,4,6,13,4,3,4,3,6,6,3,3,3,6,3,3,6,7,3,,4,4,5,3,,,
15,Lvl,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,11,12,11,11,11,11,12,11,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,13,13,13,13,13,12,13,13,13,13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
